cities,threads,optimal,trial_1,trial_2,trial_3,trial_4,trial_5
6,1,41,0.015,0.015,0.021,0.016,0.023
6,4,41,0.041,0.025,0.043,0.017,0.023
8,1,63,0.041,0.015,0.016,0.017,0.018
8,4,63,0.022,0.027,0.044,0.039,0.018
10,1,80,0.018,0.022,0.020,0.020,0.019
10,4,80,0.018,0.020,0.026,0.019,0.025
12,1,53,0.123,0.113,0.117,0.116,0.125
12,4,53,0.049,0.045,0.053,0.070,0.051
14,1,104,5.840,6.047,5.794,5.819,5.805
14,4,104,1.887,1.898,1.939,2.001,1.963
